,index,idle_time,cycle_count,steps
1,pipel_10,0.0,0.02,1427.6
2,pipel_15,3.84,1.16,1447.98
3,pipel_20,5.92,1.88,1447.58
4,pipel_25,35.88,5.96,1441.86
5,pipel_30,100.26,15.16,1479.44
6,pipel_35,309.7,41.4,1582.34
7,pipel_40,352.72,42.92,1615.08
8,pipel_45,576.06,64.84,1731.3
