,idle_time,cycle_count,steps,items_processed
pipeline_10,0.0,2.37,1535.41,81.0
pipeline_15,0.07,1.41,776.26,81.01
pipeline_20,110.37,51.69,1367.34,78.98
pipeline_25,485.69,134.85,1050.99,79.69
pipeline_30,3237.0,385.13,1070.0,27.23
pipeline_35,3091.73,338.95,1050.07,61.82
