;configuration;gamma;idle_time;cycle_count;steps;items_processed;reward;idle_percent;cycle_percent
1x2;1x2;0.99;1.23;2.34;2732.12;151.03;423.22;0.000;0.015
2x2;2x2;0.99;67;14.43;1462.78;150.34;399.24;0.046;0.096
2x3;2x3;0.99;2.99;19.67;2503.96;151.03;403.53;0.001;0.130
3x3;3x3;0.99;136.67;82.05;1708.61;150.5;218.91;0.080;0.545
4x3;4x3;0.99;100.89;97.41;1248.14;146.35;161.97;0.081;0.666
5x3;5x3;0.99;1159.29;304.52;563.05;45.32;-808.92;2.059;6.719
