,index,idle_time,cycle_count,steps
0,lane_l_10,20.2,0.0,2975.84
1,lane_l_9,19.82,1.72,2962.46
2,lane_l_8,11.18,0.0,2980.26
3,lane_l_7,29.84,0.44,2970.16
4,lane_l_6,89.62,0.0,2990.16
5,lane_l_5,76.74,2.08,2989.06
6,lane_l_4,386.92,0.02,3031.06
7,lane_l_3,370.3,0.6,3047.38
8,lane_l_2,2440.56,0.0,3446.7
9,lane_l_1,2423.66,0.0,3474.54
