;idle_time;cycle_count;steps
1x2;0.42;102.32;950.81
2x2;1;77.15;1446.29
2x3;49.16;205.62;2539.02
3x3;125.8;835.51;2820.47
4x3;125.78;851.17;2913.29
5x3;48985.11;141.85;10001
