;index;idle_time;cycle_count;steps
0;lane_l_10;0;0.12;1408.1
1;lane_l_9;0.06;0.24;1441.16
2;lane_l_8;0;0;1423.88
3;lane_l_7;0;0.02;1424.32
4;lane_l_6;0;0.16;1410.04
5;lane_l_5;1.22;1.86;1433.12
6;lane_l_4;29.12;31.72;1443.44
7;lane_l_3;118.76;120.62;1492.12
8;lane_l_2;382.98;287.54;1635.74
9;lane_l_1;335.62;261.96;1622.38
